prompt,completion
what mexican restaurants are there nearby for take-out,16
i helped a poor needy today,12
stock up or down for walgreens,4
mute the volume,46
repeat my reminders from yesterday,32
schedule my event with person at time and place,50
lower the lights in the room,31
can you remove my to do list,53
let's play a game how about tic tac toe,51
tell me the latest news about donald trump,22
play flappy bird,51
check currencies,10
what is the financial capital of canada,49
what is going on in milwaukee,6
please tell what would be the weather in washington d. c. for the coming week,13
what is the weather back home today,13
do i need a coat,13
what is the email i got from my girlfriend,44
add a new event to my calendar,50
show me the direction of this location,42
i want to hear my playlist from that artist,45
can i order takeaway dinner from byron's,16
customize the tab to display your preferred time period,32
what is the mean sea level of that place,49
olly what time is it in denver,0
remind me that i have a meeting at three p. m. tomorrow,50
list new emails,44
resuming playing my current audio book,20
did renee just post to my facebook feed,27
provide me with the news about iphone,22
what's next,12
how to get to cracow before noon by train,42
have i got any reminders in my calendar,32
what is the longest river on earth,49
play joy division,45
do i have anything scheduled tomorrow from noon to three p. m.,32
what are you doing,12
when is bank holiday,32
let's just skip appointment at time,30
i'm thinking of a number one to ten,51
remember to remind me about client meet at four p. m.,50
send email to jerry about the meeting,33
give me some cafes near downtown fort lauderdale,19
send an email to bill that i'm sorry i didn't realize he was so sick,33
please play the broods,45
please play my best music,45
alert me when my anniversary is,50
how many new emails have i gotten,44
play hip hop playlist,45
begin radio play,36
how many alarms do i have,23
olly alert me at three p. m. to go to the concert,48
is there a chili cook-off this weekend,32
what do i need to do today,59
bring me latest tech news,22
any new emails,44
how old is rod stewart,49
play ipl two thousand and seventeen,36
i need ninety nine point five please,36
please start the next podcast episode,58
what are all my lists please,59
how to calculate trigonametry,39
what's up with this yellow light get some white up in here,1
order mcdonalds,16
please tell me what's on my to-do list for today,59
book tomorrow's train ticket for me to bombay in any train,2
it would be tasty,9
what's going to be the cure for cancer,49
intel company stock price,4
please check if there is a new email on the inbox,44
change lights to pink,1
what does one have to damage in cream to make butter,9
hey olly order me some take out from jason's deli,16
can i go outing without any umbrella,13
martial arts,12
i want to play the audiobook good grief,20
can you drop a beat for me,45
turn on the socket,24
tell me why relationships are so hard,49
tell me what is on the list,59
give me the detailed schedule for next week,32
every wednesday night at five p. m. remind me to meet phil,50
give me a joke,25
tell me who the thirty second president is,49
hey olly do i have any emails from bob about the bulldog,44
good,32
delete all,30
have i gotten any mail recently,44
alexa please search for events near me,6
for the next month how many meeting days available do i have that are convenient for me,32
turn the speakers down to five percent,35
i would like it to help with coding debugging,12
don't let me forget rover's vet appointment on the twenty fifth,50
start next episode playing,58
how many subscriber does captain disillusion have,12
celebrities,12
what is the height of mount everest,49
turn on my electronic playlist,45
take a snap,12
from my play list filter devotional songs and play right now for me,45
please play help,45
call me at six am,48
search the contact,17
send flowers to my girl friend,12
notify me about any festival occurring next month,50
play song all the small things,45
i went to the grocery store today,12
setting repeating event in calendar,50
can you turn off the smart socket,8
i would like this alarm permanently removed,52
help me to mute my speaker,46
open podcast by the young turks,58
was my meeting today rescheduled,32
erase all my event in my calendar,30
what is the highest temperature of delhi,13
start the poker game,51
what is the most convenient hour to catch a train to york on saturday,42
tell me ten minutes before meeting,32
tell me how to cook pasta,9
shazaam,45
look up in contacts,17
what's trending on twitter,27
